,InocS_1,InocS_2,InocS_3,InocHypS_1,InocHypS_2,InocHypS_3,InocR_1,InocR_2,InocR_3
Eucgr.L03188.1,0,0,0,0,1,0,0,1,0
Eucgr.L01367.1,7,14,25,5,3,3,4,0,9
Eucgr.L01366.1,51,0,46,2,2,4,47,15,23
Eucgr.L01363.1,3,45,3,0,1,0,6,18,7
Eucgr.L01365.1,1,11,0,1,0,1,3,3,10
Eucgr.L03590.1,0,0,0,0,0,0,0,0,0
Eucgr.L02551.1,0,5,9,9,3,1,2,3,4
Eucgr.L02550.1,1910,2983,2044,2884,2086,2817,2019,1557,2184
Eucgr.L03576.1,0,0,0,0,0,0,0,0,0
Eucgr.L01396.1,2,9,1,14,3,10,26,10,10
Eucgr.L01476.1,0,0,0,0,0,0,8,0,0
Eucgr.L03486.1,0,1,0,0,1,0,0,5,3
Eucgr.L03273.1,149,132,166,249,150,168,132,142,147
Eucgr.L02868.1,0,0,0,0,0,0,1,0,0
Eucgr.L02563.1,3,1,0,0,2,1,3,0,0
Eucgr.L03033.1,0,0,0,0,0,0,0,0,1
Eucgr.L03032.1,5,2,4,1,0,3,7,10,22
Eucgr.L00927.1,4,1,3,12,4,6,1,6,0
Eucgr.L00923.1,169,196,167,190,144,191,208,157,187
Eucgr.L00922.1,78,81,82,97,103,114,183,96,227
Eucgr.L00925.1,13,6,14,12,2,12,18,8,16
Eucgr.L00924.1,328,428,385,441,309,434,167,203,429
Eucgr.L00926.1,0,0,0,0,0,1,1,0,0
Eucgr.L03173.1,0,0,1,0,0,0,4,7,10
Eucgr.L03172.1,0,0,1,0,0,0,0,0,0
Eucgr.L03564.1,0,0,0,0,0,0,0,0,5
Eucgr.L01689.1,37,24,26,17,11,24,11,31,31
Eucgr.L03636.1,6,37,16,28,8,35,29,25,50
Eucgr.L01192.1,0,0,0,0,2,0,4,0,0
Eucgr.L01193.1,8,1,11,9,5,11,50,26,5
Eucgr.L02426.1,0,0,0,0,0,0,0,0,2
Eucgr.L03163.1,58,44,53,3,8,3,47,35,31
Eucgr.L01023.1,23,37,22,2,0,6,43,1,0
Eucgr.L02278.1,1,2,0,0,0,0,0,0,180
Eucgr.L02279.1,43,76,51,46,38,53,38,40,46
Eucgr.L01865.1,4,7,8,3,5,5,47,0,68
Eucgr.L01864.1,0,0,0,0,0,0,0,0,0
Eucgr.L02976.1,0,0,0,0,0,0,0,0,0
Eucgr.L02977.1,7,19,15,157,121,189,37,109,30
Eucgr.L03107.1,1,0,0,2,1,2,0,0,5
Eucgr.L02885.1,20,12,20,43,25,35,15,41,24
Eucgr.L01767.1,0,0,0,0,0,0,0,0,0
